Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
101-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/101_Eau_De_Parfum3.jpg?v=1571720099,3,,,,,,,,,,,,,,,,,,,,,
102-eau-de-parfum,102 Eau De Parfum,"<div>102 tea, cardamom, mimosa</div>
<div>Floral</div>
<br>
<div>Eau de parfum</div>
<div>30 ml – 1 fl. oz.</div>
<br>
<div>Green tea freshness, mimosas from Grasse.</div>
<div>Top: Bergamot, Coriander, Cardamom</div>
<div>Middle: Jasmine, Tea, Violet</div>
<div>Base: Mimosa, Oak Moss, Musk</div>
<p> </p>
<meta charset=""utf-8"">
<p><strong>This<span> </span>item is excluded from all promotional offers.</strong></p>
<div>
<meta charset=""utf-8"">
<p><span style=""color: #ff0000;""><b>FINAL SALE ITEM</b></span></p>
<p><span style=""font-weight: 400;"">Final Sale items cannot be returned or exchanged. Please note that if we receive a returned Final Sale item or items, the package will be returned to you, we will notify you via email, and you will not receive a refund. </span>For Beauty and Grooming products: If the product causes an allergic reaction, you can return or exchange the product within 30 days of the original purchase date.</p>
</div>
<div>
<div></div>
</div>",Bon Parfumeur,WOMEN,"backinstock-0819, Beauty, bon-parfumeur, color-102, Fragrance, under-100",true,Color,102,Size,1oz,,,BPR-BP102EDP30:102:1oz,0,shopify,deny,manual,48.00,,true,true,'051515,https://cdn.shopify.com/s/files/1/3039/0972/products/102_Eau_De_Parfum.jpg?v=1571720099,1,,false,,,,,,,,,,,,,,,,,kg,,
102-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/102_Eau_De_Parfum2.jpg?v=1571720099,2,,,,,,,,,,,,,,,,,,,,,
102-eau-de-parfum,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/102_Eau_De_Parfum3.jpg?v=1571720099,3,,,,,,,,,,,,,,,,,,,,,
49-tailored-pocket-tee,#49 Tailored Pocket Tee,"<meta content=""text/html; charset=utf-8"" http-equiv=""content-type"">
<div>Skargorn | #45 Tailored Pocket Tee</div>
<div></div>
<div>The #49 Tailored Pocket Tee by Skargorn is a relaxed classic washed cotton tee. Featuring a front pocket, short sleeves, straight cut, ribbed loose crew neck and signature cutout at neckline. </div>
<div> 
<div>- 100% Cotton </div>
<div>- Machine wash cold, tumble dry low </div>
<div>- Made in Los Angeles, CA</div>
<br>
<div>Measurements:</div>
<div>Shoulder: 16""</div>
<div>Chest:  19""</div>
<div>Length: 27""</div>
<br>
<div>Measurements from size XS </div>
<div>Model shown wearing a size XS</div>
</div>",Skargorn,WOMEN,"az-basics, backinstock-0819, CLOTHING, color-0-20oz, color-aab-blanc, color-aero, color-ashgrey, color-bianco, color-bkflower, color-black-white, color-black-white-marble, color-blackwhite, color-blanc, color-blanc-cass, color-blanc-casse, color-blanc-de-blanc, color-blanc-fleurs, color-blckmint, color-blckwhit, color-blckwsh, color-bleached-blue, color-blk-nvy, color-blk-wht, color-blkgrid, color-blkivory, color-blkwash, color-blkwhite, color-blkwht, color-blu-wht, color-blue-stripe, color-blue-white, color-bluplaid, color-bluwht, color-bone, color-bone-white, color-bonewhit, color-brass-white, color-brown-white, color-brwnwhit, color-burgundy-ivory, color-calypso, color-chalk-white, color-check, color-check-print, color-chess, color-clay, color-clear, color-coconut, color-cream, color-cream-black, color-cream-charcoal, color-cream-fuschia, color-cream-multi, color-creamblk, color-creamsicle, color-creme, color-crystal, color-custard, color-dirty-white, color-dusty-white, color-ecru, color-edt, color-evil-eye, color-falcon, color-fuschia, color-gldivory, color-gold-ivory, color-greige-cream, color-grey-agate-silver, color-hearts, color-heather-birch, color-ice, color-ivory, color-ivory-demi, color-ivory-green, color-ivory-multi, color-ivory-navy, color-ivory-navy-rust, color-ivorydem, color-leo, color-lipstick, color-malibu, color-milk-wash, color-milkwash, color-milky-white, color-mink, color-mlkwsh, color-mocha-cream-dot, color-mustard-off-white, color-muted, color-natblkiv, color-navy-white, color-navywhit, color-nero, color-noori, color-nvy-wht, color-nvywht, color-off-white, color-off-white-black, color-off-white-indigo, color-offwht, color-old-white, color-optcwht, color-optic-white, color-pearl, color-pearl-white, color-pink-black-white, color-raw-white, color-red-blue, color-red-stripe, color-red-white, color-rice, color-rose-navy, color-rust-white-black, color-scour, color-sheer, color-smoke-rose-ivory, color-soap, color-spf30, color-taupe-pearl, color-tiza-nude, color-tuxedo, color-vanilla, color-vintage-white, color-vitamin-b5, color-white, color-white-beige, color-white-beige-pink, color-white-black, color-white-brown, color-white-grey, color-white-linen, color-white-multi, color-white-mustard, color-white-navy, color-white-sand, color-white-smoke, color-white-speckle, color-white-spurs, color-white-wash, color-whiteblack, color-whitemulti, color-whitenvy, color-whitgrey, color-wht, color-wht-blk, color-whtlinen, color-whtwash, color-whtwsh, color-wine-white, color-wool, color-wshcamo, color-wtnvymlt, color-xl, color-yellow-white, color-yuzusea, Responsible, skargorn, Tees, Tops, under-100, WOMEN",true,Color,Indigo,Size,XS,,,SKA-F4920:Indigo:XS,0,shopify,deny,manual,70.00,,true,true,'023547,https://cdn.shopify.com/s/files/1/3039/0972/products/49-tailored-pocket-tee-2.jpg?v=1571720100,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/41481.jpg?v=1571720100,lb,,
49-tailored-pocket-tee,,,,,,,,Indigo,,S,,,SKA-F4920:Indigo:S,0,shopify,deny,manual,70.00,,true,true,'023548,https://cdn.shopify.com/s/files/1/3039/0972/products/49-tailored-pocket-tee.jpg?v=1571720100,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/41481.jpg?v=1571720100,lb,,
49-tailored-pocket-tee,,,,,,,,Indigo,,M,,,SKA-F4920:Indigo:M,0,shopify,deny,manual,70.00,,true,true,'023550,https://cdn.shopify.com/s/files/1/3039/0972/products/49-tailored-pocket-tee-1.jpg?v=1571720100,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/41481.jpg?v=1571720100,lb,,
49-tailored-pocket-tee,,,,,,,,Indigo,,L,,,SKA-F4920:Indigo:L,0,shopify,deny,manual,70.00,,true,true,'023554,https://cdn.shopify.com/s/files/1/3039/0972/products/49-tailored-pocket-tee-3.jpg?v=1571720100,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/41481.jpg?v=1571720100,lb,,
49-tailored-pocket-tee,,,,,,,,White,,XS,,,SKA-F4920:6J:XS,0,shopify,continue,manual,70.00,,true,true,'023555,https://cdn.shopify.com/s/files/1/3039/0972/products/49-tailored-pocket-tee-4.jpg?v=1571720100,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/49-tailored-pocket-tee-4.jpg?v=1571720100,lb,,
49-tailored-pocket-tee,,,,,,,,White,,S,,,SKA-F4920:6J:S,0,shopify,deny,manual,70.00,,true,true,'023556,https://cdn.shopify.com/s/files/1/3039/0972/products/49-tailored-pocket-tee-7.jpg?v=1571720100,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/49-tailored-pocket-tee-4.jpg?v=1571720100,lb,,
